[09:22:36]===============================================================
[09:22:36]     START MEASURE :: 아이스 아메리카노
[09:25:49]  START OUTLET         : 0.13 sec
[09:25:49]  START OUTLET         : 0.06 sec
[09:25:49]  START OUTLET         : 0.14 sec
[09:25:49]  START OUTLET         : 0.07 sec
[09:25:49]  START OUTLET         : 0.13 sec
[09:25:49]  START OUTLET         : 0.06 sec
[09:25:50]  START OUTLET         : 0.13 sec
[09:25:50]  START OUTLET         : 0.07 sec
[09:25:50]  START OUTLET         : 0.14 sec
[09:25:50]  START OUTLET         : 0.06 sec
[09:25:50]  START OUTLET         : 0.13 sec
[09:25:50]  START OUTLET         : 0.07 sec
[09:25:50]  START OUTLET         : 0.12 sec
[09:25:50]  START OUTLET         : 0.08 sec
[09:25:50]  START OUTLET         : 0.13 sec
[09:25:50]  START OUTLET         : 0.06 sec
[09:25:51]  START OUTLET         : 0.14 sec
[09:25:51]  START OUTLET         : 0.06 sec
[09:25:51]  START OUTLET         : 0.13 sec
[09:25:51]  START OUTLET         : 0.08 sec
[09:25:51]  START OUTLET         : 0.13 sec
[09:25:51]  START OUTLET         : 0.07 sec
[09:25:51]  START OUTLET         : 0.13 sec
[09:25:51]  START OUTLET         : 0.07 sec
[09:25:51]  START OUTLET         : 0.11 sec
[09:25:51]  START OUTLET         : 0.09 sec
[09:25:52]  START OUTLET         : 0.13 sec
[09:25:52]  START OUTLET         : 0.07 sec
[09:25:52]  START OUTLET         : 0.12 sec
[09:25:52]  START OUTLET         : 0.08 sec
[09:25:52]  START OUTLET         : 0.13 sec
[09:25:52]  START OUTLET         : 0.06 sec
[09:25:52]  START OUTLET         : 0.14 sec
[09:25:52]  START OUTLET         : 0.07 sec
[09:25:52]  START OUTLET         : 0.14 sec
[09:25:52]  START OUTLET         : 0.06 sec
[09:25:53]  START OUTLET         : 0.14 sec
[09:25:53]  START OUTLET         : 0.06 sec
[09:25:53]  START OUTLET         : 0.13 sec
[09:25:53]  START OUTLET         : 0.08 sec
[09:25:53]  START OUTLET         : 0.13 sec
[09:25:53]  START OUTLET         : 0.07 sec
[09:25:53]  START OUTLET         : 0.13 sec
[09:25:53]  START OUTLET         : 0.07 sec
[09:25:53]  START OUTLET         : 0.14 sec
[09:25:53]  START OUTLET         : 0.05 sec
[09:25:54]  START OUTLET         : 0.14 sec
[09:25:54]  START OUTLET         : 0.06 sec
[09:25:54]  START OUTLET         : 0.14 sec
[09:25:54]  START OUTLET         : 0.07 sec
[09:25:54]  START OUTLET         : 0.12 sec
[09:25:54]  START OUTLET         : 0.07 sec
[09:25:54]  START OUTLET         : 0.13 sec
[09:25:54]  START OUTLET         : 0.06 sec
[09:25:54]  START OUTLET         : 0.13 sec
[09:25:54]  START OUTLET         : 0.07 sec
[09:25:55]  START OUTLET         : 0.14 sec
[09:25:55]  START OUTLET         : 0.06 sec
[09:25:55]  START OUTLET         : 0.13 sec
[09:25:55]  START OUTLET         : 0.08 sec
[09:25:55]  START OUTLET         : 0.12 sec
[09:25:55]  START OUTLET         : 0.07 sec
[09:25:55]  START OUTLET         : 0.13 sec
[09:25:55]  START OUTLET         : 0.07 sec
[09:25:55]  START OUTLET         : 0.13 sec
[09:25:55]  START OUTLET         : 0.07 sec
[09:25:56]  START OUTLET         : 0.13 sec
[09:25:56]  START OUTLET         : 0.07 sec
[09:25:56]  START OUTLET         : 0.12 sec
[09:25:56]  START OUTLET         : 0.09 sec
[09:25:56]  START OUTLET         : 0.10 sec
[09:25:56]  START OUTLET         : 0.08 sec
[09:25:56]  START OUTLET         : 0.14 sec
[09:25:56]  START OUTLET         : 0.06 sec
[09:25:56]  START OUTLET         : 0.13 sec
[09:25:56]  START OUTLET         : 0.06 sec
[09:25:57]  START OUTLET         : 0.14 sec
[09:25:57]  START OUTLET         : 0.06 sec
[09:25:57]  START OUTLET         : 0.12 sec
[09:25:57]  START OUTLET         : 0.08 sec
[09:25:57]  START OUTLET         : 0.12 sec
[09:25:57]  START OUTLET         : 0.08 sec
[09:25:57]  START OUTLET         : 0.13 sec
[09:25:57]  START OUTLET         : 0.07 sec
[09:25:57]  START OUTLET         : 0.14 sec
[09:25:57]  START OUTLET         : 0.06 sec
[09:25:58]  START OUTLET         : 0.14 sec
[09:25:58]  START OUTLET         : 0.07 sec
[09:25:58]  START OUTLET         : 0.12 sec
[09:25:58]  START OUTLET         : 0.08 sec
[09:25:58]  START OUTLET         : 0.13 sec
[09:25:58]  START OUTLET         : 0.08 sec
[09:25:58]  START OUTLET         : 0.13 sec
[09:25:58]  START OUTLET         : 0.06 sec
[09:25:58]  START OUTLET         : 0.13 sec
[09:25:58]  START OUTLET         : 0.07 sec
[09:25:59]  START OUTLET         : 0.13 sec
[09:25:59]  START OUTLET         : 0.07 sec
[09:25:59]  START OUTLET         : 0.13 sec
[09:25:59]  START OUTLET         : 0.07 sec
[09:25:59]  START OUTLET         : 0.13 sec
[09:25:59]  START OUTLET         : 0.06 sec
[09:25:59]  START OUTLET         : 0.13 sec
[09:25:59]  START OUTLET         : 0.07 sec
[09:25:59]  START OUTLET         : 0.14 sec
[09:25:59]  START OUTLET         : 0.06 sec
[09:26:00]  START OUTLET         : 0.13 sec
[09:26:00]  START OUTLET         : 0.07 sec
[09:26:00]  START OUTLET         : 0.13 sec
[09:26:00]  START OUTLET         : 0.07 sec
[09:26:00]  START OUTLET         : 0.11 sec
[09:26:00]  START OUTLET         : 0.09 sec
[09:26:00]  START OUTLET         : 0.13 sec
[09:26:00]  START OUTLET         : 0.07 sec
[09:26:00]  START OUTLET         : 0.13 sec
[09:26:00]  START OUTLET         : 0.08 sec
[09:26:01]  START OUTLET         : 0.11 sec
[09:26:01]  START OUTLET         : 0.09 sec
[09:26:01]  START OUTLET         : 0.11 sec
[09:26:01]  START OUTLET         : 0.09 sec
[09:26:01]  START OUTLET         : 0.13 sec
[09:26:01]  START OUTLET         : 0.06 sec
[09:26:01]  START OUTLET         : 0.14 sec
[09:26:01]  START OUTLET         : 0.06 sec
[09:26:01]  START OUTLET         : 0.14 sec
[09:26:01]  START OUTLET         : 0.07 sec
[09:26:02]  START OUTLET         : 0.13 sec
[09:26:02]  START OUTLET         : 0.07 sec
[09:26:02]  START OUTLET         : 0.14 sec
[09:26:02]  START OUTLET         : 0.07 sec
[09:26:02]  START OUTLET         : 0.10 sec
[09:26:02]  START OUTLET         : 0.09 sec
[09:26:02]  START OUTLET         : 0.13 sec
[09:26:02]  START OUTLET         : 0.07 sec
[09:26:02]  START OUTLET         : 0.14 sec
[09:26:02]  START OUTLET         : 0.06 sec
[09:26:03]  START OUTLET         : 0.13 sec
[09:26:03]  START OUTLET         : 0.07 sec
[09:26:03]  START OUTLET         : 0.13 sec
[09:26:03]  START OUTLET         : 0.08 sec
[09:26:03]  START OUTLET         : 0.12 sec
[09:26:03]  START OUTLET         : 0.06 sec
[09:26:03]  START OUTLET         : 0.12 sec
[09:26:03]  START OUTLET         : 0.09 sec
[09:26:03]  START OUTLET         : 0.13 sec
[09:26:03]  START OUTLET         : 0.07 sec
[09:26:04]  START OUTLET         : 0.14 sec
[09:26:04]  START OUTLET         : 0.07 sec
[09:26:04]  START OUTLET         : 0.13 sec
[09:26:04]  START OUTLET         : 0.07 sec
[09:26:04]  START OUTLET         : 0.13 sec
[09:26:04]  START OUTLET         : 0.07 sec
[09:26:04]  START OUTLET         : 0.12 sec
[09:26:04]  START OUTLET         : 0.08 sec
[09:26:04]  START OUTLET         : 0.13 sec
[09:26:04]  START OUTLET         : 0.06 sec
[09:26:05]  START OUTLET         : 0.14 sec
[09:26:05]  START OUTLET         : 0.06 sec
[09:26:05]  START OUTLET         : 0.14 sec
[09:26:05]  START OUTLET         : 0.07 sec
